Unique ID,SKIP resource name,SKIP download link,SKIP Resource Link,asset ,image,document,SKIP FileType,SKIP Location/Source SKIP,state name,SKIP Migrate or Don't Migrate,SKIP Corporate Resource,SKIP Dine Out Resource,SKIP Blogger,SKIP Local Market,SKIP Additional NKH notes ,SKIP CHIEF Response,Title,SKIP 11/8 CHIEF Notes,Resource Description,Corporate Partner Description,Local Market Description,DineOut description,FileType,Category,SKIP CHIEF Notes 11.8,SKIP NKH Approval 11.8
11,,Customizable Bounce Back Coupon.zip,,Customizable Bounce Back Coupon.zip,,Customizable Bounce Back Coupon.zip,zip,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Customizable Bounce Back Coupon,Migrate,Use this customizable template for your bounce back coupon promotion.,,,"These customizable materials require a graphic designer to modify before printing. Download the design files to share with your designer or professional printer, or use the convenient online ordering system from our print partner Calagaz Printing. All customized materials must be approved by No Kid Hungry before printing.",Design Files,Point of Purchase Assets,request clarification,
12,,Customizable Donation Card.zip,,Customizable Donation Card.zip,,Customizable Donation Card.zip,zip,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Customizable Donation Card,Migrate,Use this customizable template to recognize guest donations.,,,"These customizable materials require a graphic designer to modify before printing. Download the design files to share with your designer or professional printer, or use the convenient online ordering system from our print partner Calagaz Printing. All customized materials must be approved by No Kid Hungry before printing.",Design Files,Point of Purchase Assets,request clarification,
13,,Customizable Fundraising Goal Poster.zip,,Customizable Fundraising Goal Poster.zip,,Customizable Fundraising Goal Poster.zip,zip,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Customizable Fundraising Goal Poster ,Migrate,Use this customizable template to help incentivize employees to raise funds for No Kid Hungry.,,,"These customizable materials require a graphic designer to modify before printing. Download the design files to share with your designer or professional printer, or use the convenient online ordering system from our print partner Calagaz Printing. All customized materials must be approved by No Kid Hungry before printing.",Design Files,Employee Engagement/Training,request clarification,
14,,Customizable Poster.zip,,Customizable Poster.zip,,Customizable Poster.zip,zip,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Customizable Poster,Migrate,Use this customizable template to promote your Dine Out for No Kid Hungry campaign.,,,"These customizable materials require a graphic designer to modify before printing. Download the design files to share with your designer or professional printer, or use the convenient online ordering system from our print partner Calagaz Printing. All customized materials must be approved by No Kid Hungry before printing.",Design Files,Point of Purchase Assets,request clarification,
15,,Customizable Table Card.zip,,Customizable Table Card.zip,,Customizable Table Card.zip,zip,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Customizable Table Card,Migrate,Use this customizable template to promote your Dine Out for No Kid Hungry campaign.,,,"These customizable materials require a graphic designer to modify before printing. Download the design files to share with your designer or professional printer, or use the convenient online ordering system from our print partner Calagaz Printing. All customized materials must be approved by No Kid Hungry before printing.",Design Files,Point of Purchase Assets,request clarification,
16,,Customizable Web Banner 160x600.psd,,Customizable Web Banner 160x600.psd,,Customizable Web Banner 160x600.psd,psd,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Customizable Web Banner 160x600,Migrate,Use these web banners to help you promote your participation in Dine Out For No Kid Hungry on your digital platforms.,,,,Design Files,Website Assets,ok term,
17,,Customizable Web Banner 300x250.psd,,Customizable Web Banner 300x250.psd,,Customizable Web Banner 300x250.psd,psd,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Customizable Web Banner 300x250,Migrate,Use these web banners to help you promote your participation in Dine Out For No Kid Hungry on your digital platforms.,,,,Design Files,Website Assets,ok term,
18,,Customizable Web Banner 728x90_v1.psd,,Customizable Web Banner 728x90_v1.psd,,Customizable Web Banner 728x90_v1.psd,psd,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Customizable Web Banner 728x90_v1,Migrate,Use these web banners to help you promote your participation in Dine Out For No Kid Hungry on your digital platforms.,,,,Design Files,Website Assets,ok term,
19,,Customizable Web Banner 728x90_v2.psd,,Customizable Web Banner 728x90_v2.psd,,Customizable Web Banner 728x90_v2.psd,psd,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Customizable Web Banner 728x90_v2,Migrate,Use these web banners to help you promote your participation in Dine Out For No Kid Hungry on your digital platforms.,,,,Design Files,Website Assets,ok term,
20,,Customizable Web Banner 728x90_v3.psd,,Customizable Web Banner 728x90_v3.psd,,Customizable Web Banner 728x90_v3.psd,psd,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Customizable Web Banner 728x90_v3,Migrate,Use these web banners to help you promote your participation in Dine Out For No Kid Hungry on your digital platforms.,,,,Design Files,Website Assets,ok term,
21,,Standard Web Banner 160x600.jpg,,Standard Web Banner 160x600.jpg,Standard Web Banner 160x600.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Standard Web Banner 160x600,Migrate,Use these web banners to help you promote your participation in Dine Out For No Kid Hungry on your digital platforms.,,,,Image,Website Assets,ok term,
22,,Standard Web Banner 300x250.jpg,,Standard Web Banner 300x250.jpg,Standard Web Banner 300x250.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Standard Web Banner 300x250,Migrate,Use these web banners to help you promote your participation in Dine Out For No Kid Hungry on your digital platforms.,,,,Image,Website Assets,ok term,
23,,Standard Web Banner 728x90_v1.jpg,,Standard Web Banner 728x90_v1.jpg,Standard Web Banner 728x90_v1.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Standard Web Banner 728x90_v1,Migrate,Use these web banners to help you promote your participation in Dine Out For No Kid Hungry on your digital platforms.,,,,Image,Website Assets,ok term,
24,,Standard Web Banner 728x90_v2.jpg,,Standard Web Banner 728x90_v2.jpg,Standard Web Banner 728x90_v2.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Standard Web Banner 728x90_v2,Migrate,Use these web banners to help you promote your participation in Dine Out For No Kid Hungry on your digital platforms.,,,,Image,Website Assets,ok term,
25,,Standard Web Banner 728x90_v3.jpg,,Standard Web Banner 728x90_v3.jpg,Standard Web Banner 728x90_v3.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Standard Web Banner 728x90_v3,Migrate,Use these web banners to help you promote your participation in Dine Out For No Kid Hungry on your digital platforms.,,,,Image,Website Assets,ok term,
